role,email,username,password
PLAYER,player01@pulse.local,player01,Pulse@1234
PLAYER,player02@pulse.local,player02,Pulse@1234
PLAYER,player03@pulse.local,player03,Pulse@1234
PLAYER,player04@pulse.local,player04,Pulse@1234
PLAYER,player05@pulse.local,player05,Pulse@1234
PLAYER,player06@pulse.local,player06,Pulse@1234
PLAYER,player07@pulse.local,player07,Pulse@1234
PLAYER,player08@pulse.local,player08,Pulse@1234
CAPTAIN,captain01@pulse.local,captain01,Pulse@1234
CAPTAIN,captain02@pulse.local,captain02,Pulse@1234
CAPTAIN,captain03@pulse.local,captain03,Pulse@1234
CAPTAIN,captain04@pulse.local,captain04,Pulse@1234
CAPTAIN,captain05@pulse.local,captain05,Pulse@1234
ORGANIZER,organizer01@pulse.local,organizer01,Pulse@1234
ORGANIZER,organizer02@pulse.local,organizer02,Pulse@1234
ORGANIZER,organizer03@pulse.local,organizer03,Pulse@1234
ORGANIZER,organizer04@pulse.local,organizer04,Pulse@1234
ADMIN,admin01@pulse.local,admin01,Pulse@1234
ADMIN,admin02@pulse.local,admin02,Pulse@1234
ADMIN,admin03@pulse.local,admin03,Pulse@1234
